symbol	prev_close	prev_low	curr_open	curr_low	curr_close	volume	percent_gain	pe_ratio
TECHM.NS	1358.50	1347.40	1362.90	1360.20	1396.10	1834277	2.44	25.77
PETRONET.NS	273.45	271.10	273.45	272.90	279.90	3970991	2.36	11.55
HINDCOPPER.NS	541.50	537.45	546.80	546.00	559.35	5543356	2.30	82.02
NYKAA.NS	262.79	260.02	263.19	263.19	269.19	4962076	2.28	560.81
VOLTAS.NS	1464.00	1431.90	1481.40	1475.00	1515.00	1856047	2.27	100.46
AARTIIND.NS	472.75	458.55	478.00	477.10	488.75	2652810	2.25	46.95
CROMPTON.NS	250.23	248.31	253.00	252.10	258.68	2660391	2.25	36.08
EXIDEIND.NS	342.80	339.40	345.00	344.80	352.35	2605727	2.13	36.18
HAVELLS.NS	1238.60	1233.00	1248.00	1243.10	1274.10	2461604	2.09	47.40
UNOMINDA.NS	1108.10	1091.20	1108.10	1101.30	1130.90	503867	2.06	57.35
DELHIVERY.NS	449.70	441.65	453.60	452.20	462.70	3708315	2.01	232.51
BSE.NS	3446.00	3412.20	3465.00	3451.00	3534.60	2386493	2.01	66.67
M&MFIN.NS	294.40	290.00	311.60	311.60	317.70	30867272	1.96	15.22
INDHOTEL.NS	635.35	630.40	635.55	635.35	647.85	1469955	1.94	45.88
BHARATFORG.NS	1856.00	1836.00	1865.40	1865.40	1901.10	890710	1.91	80.66
CONCOR.NS	502.80	499.05	505.15	505.15	514.20	2167552	1.79	30.68
ADANIPORTS.NS	1585.10	1556.50	1600.00	1593.00	1628.50	3787783	1.78	28.25
PGEL.NS	547.15	542.75	554.90	550.60	564.50	2482814	1.73	57.48
PRESTIGE.NS	1373.20	1344.60	1382.00	1380.30	1405.10	460882	1.67	62.50
JINDALSTEL.NS	1256.00	1237.30	1257.90	1257.60	1278.20	1150764	1.61	65.78
KALYANKJIL.NS	405.30	402.35	407.15	406.15	413.65	3334416	1.60	37.81
HCLTECH.NS	1203.20	1198.10	1209.00	1201.00	1228.20	6066942	1.59	20.00
FORTIS.NS	929.30	920.20	939.00	935.00	953.80	1721440	1.58	75.16
IOC.NS	143.47	142.90	144.00	143.69	146.26	8409968	1.57	5.63
NTPC.NS	401.85	399.20	403.90	402.60	410.20	13001752	1.56	22.68
OBEROIRLTY.NS	1687.00	1681.70	1697.00	1690.00	1723.30	758413	1.55	28.01
AMBUJACEM.NS	451.20	440.40	453.50	453.45	460.50	3444150	1.54	30.76
ACC.NS	1412.70	1398.80	1418.00	1416.40	1439.80	274971	1.54	10.24
PPLPHARMA.NS	165.47	163.60	166.29	165.08	168.78	9489285	1.50	
MFSL.NS	1587.30	1566.60	1580.10	1579.50	1603.00	555511	1.45	384.41
MOTHERSON.NS	125.70	125.33	126.13	125.44	127.93	11628991	1.43	39.48
BPCL.NS	308.10	300.15	308.30	306.70	312.65	5296412	1.41	5.43
INFY.NS	1154.60	1152.20	1154.60	1154.50	1170.30	19579883	1.36	15.53
IREDA.NS	135.89	134.16	136.22	136.22	138.00	10860811	1.31	20.18
MGL.NS	1130.15	1123.55	1127.00	1124.50	1141.80	125250	1.31	11.83
HINDPETRO.NS	373.50	368.70	376.00	372.75	380.90	4117585	1.30	5.26
NCC.NS	161.99	160.40	162.54	162.22	164.48	2778650	1.19	14.29
CHAMBLFERT.NS	440.80	439.00	441.05	441.05	445.95	273893	1.11	9.33
HUDCO.NS	211.37	205.00	212.60	211.42	214.92	9276510	1.09	15.47
TATASTEEL.NS	210.07	208.60	211.00	210.93	213.27	33068230	1.08	28.98
ZYDUSLIFE.NS	927.40	922.55	929.60	922.30	939.65	1176377	1.08	19.15
DRREDDY.NS	1317.10	1293.00	1320.40	1309.00	1334.50	1940454	1.07	19.65
CIPLA.NS	1295.00	1254.10	1303.20	1299.00	1317.20	1721187	1.07	23.42
NAUKRI.NS	984.95	979.35	991.20	990.95	1000.90	1333360	0.98	48.17
MAXHEALTH.NS	999.40	996.10	1000.00	1000.00	1009.85	1065883	0.98	69.45
POWERGRID.NS	316.40	314.50	318.00	316.95	320.90	9334181	0.91	20.57
ICICIPRULI.NS	514.20	511.50	515.00	512.05	519.60	1089176	0.89	46.73
LUPIN.NS	2296.10	2262.00	2304.90	2296.20	2324.50	898638	0.85	22.90
PFC.NS	469.35	462.30	471.00	470.95	474.90	6021520	0.83	6.22
BSOFT.NS	368.65	366.20	368.95	368.95	371.85	413110	0.79	22.36
ADANIENSOL.NS	1411.95	1282.40	1425.00	1388.30	1435.80	5533751	0.76	77.53
JSWSTEEL.NS	1255.70	1246.50	1273.00	1268.10	1282.70	2309506	0.76	42.19
UPL.NS	631.40	629.95	634.90	632.50	639.50	1137864	0.72	30.58
GRANULES.NS	689.45	682.00	690.00	686.15	694.90	2252676	0.71	30.91
360ONE.NS	1039.60	1030.20	1034.90	1025.00	1042.05	592351	0.69	35.71
CDSL.NS	1312.80	1304.20	1315.00	1314.50	1324.10	1084591	0.69	58.15
LICI.NS	811.05	804.05	814.00	812.40	819.50	1084031	0.68	9.78
CYIENT.NS	873.05	867.05	880.00	874.60	885.20	945939	0.59	22.99
ATGL.NS	626.85	604.40	632.00	626.00	635.60	3229223	0.57	108.65
GLENMARK.NS	2299.50	2283.20	2312.00	2290.90	2325.10	462955	0.57	61.72
RECLTD.NS	374.00	369.05	376.00	376.00	378.05	4948268	0.55	5.78
PHOENIXLTD.NS	1775.90	1746.20	1790.00	1776.60	1799.70	343890	0.54	59.18
KOTAKBANK.NS	370.85	367.65	375.00	373.25	376.80	11559552	0.48	19.92
MARICO.NS	783.30	769.40	783.30	781.30	787.00	1072431	0.47	59.53
LAURUSLABS.NS	1113.45	1110.20	1118.80	1106.30	1123.55	1363246	0.42	71.93
DALBHARAT.NS	1962.50	1919.10	1964.70	1960.20	1972.70	281222	0.41	31.15
HDFCLIFE.NS	588.20	585.60	595.00	590.10	597.30	5548234	0.39	67.57
IRCTC.NS	541.20	539.20	543.20	541.00	545.10	1281855	0.35	30.59
HINDALCO.NS	1048.35	1027.55	1058.35	1052.00	1061.80	4241483	0.33	14.68
HDFCBANK.NS	784.85	777.00	787.50	785.00	789.80	18115375	0.29	17.64
PATANJALI.NS	462.95	456.15	465.20	462.90	466.50	1626324	0.28	30.81
OIL.NS	473.70	470.00	475.00	470.55	476.20	2981521	0.25	13.28
RVNL.NS	303.44	301.00	305.25	305.01	305.95	6622709	0.23	55.43
BHARTIARTL.NS	1814.50	1807.30	1816.10	1814.00	1820.10	4413769	0.22	35.97
POONAWALLA.NS	416.55	412.00	419.30	416.80	420.00	1417594	0.17	94.38
ABCAPITAL.NS	340.60	338.65	342.00	337.95	342.55	2500081	0.16	25.83
AUROPHARMA.NS	1413.80	1411.70	1414.90	1386.60	1416.70	998030	0.13	23.58
JSL.NS	766.30	763.55	769.50	765.15	770.40	662158	0.12	21.62
SBIN.NS	1101.10	1090.05	1110.95	1103.40	1111.85	11624385	0.08	12.11
ITC.NS	301.60	301.10	303.65	302.85	303.85	14382348	0.07	18.69
ONGC.NS	284.80	283.90	286.00	284.20	285.90	6497916	-0.03	9.45
AXISBANK.NS	1365.90	1350.00	1325.00	1299.90	1324.20	10768267	-0.06	15.67
DLF.NS	587.05	583.05	592.90	590.30	592.45	1919223	-0.08	33.08
PNBHOUSING.NS	1033.65	995.00	1047.90	1040.35	1047.00	2370550	-0.09	11.93
DABUR.NS	451.10	448.10	452.45	451.00	452.00	677273	-0.10	43.46
UNITDSPR.NS	1391.90	1370.10	1393.00	1382.00	1391.60	821321	-0.10	57.46
BAJFINANCE.NS	921.55	909.80	923.05	908.30	921.80	7813458	-0.14	31.85
KFINTECH.NS	956.05	951.35	961.95	958.00	960.65	397281	-0.14	47.84
LICHSGFIN.NS	540.75	533.30	544.00	534.40	543.10	1595904	-0.17	5.45
FEDERALBNK.NS	293.00	291.25	294.70	292.80	294.05	3880432	-0.22	17.82
SBICARD.NS	670.30	666.00	672.50	664.00	670.70	2177615	-0.27	30.50
HINDUNILVR.NS	2327.30	2299.00	2334.90	2325.00	2328.30	1099681	-0.28	54.06
INDUSTOWER.NS	402.20	395.65	403.45	399.50	402.30	3382004	-0.29	14.86
IGL.NS	164.61	162.60	165.43	163.60	164.88	1175492	-0.33	13.87
CGPOWER.NS	823.15	809.00	823.35	818.10	820.30	2549032	-0.37	114.89
NATIONALUM.NS	437.05	428.20	442.95	439.40	441.00	5256456	-0.44	13.19
BANKBARODA.NS	274.13	269.55	275.19	272.70	273.99	6045069	-0.44	7.28
MANAPPURAM.NS	289.40	285.15	289.50	286.75	288.20	1896054	-0.45	61.45
BAJAJFINSV.NS	1770.70	1757.30	1781.00	1765.00	1772.20	1267827	-0.49	29.59
ICICIGI.NS	1772.10	1765.00	1780.00	1758.10	1770.50	400221	-0.53	32.02
CHOLAFIN.NS	1568.20	1529.90	1570.50	1534.80	1560.70	2919111	-0.62	27.18
TATACONSUM.NS	1174.00	1162.00	1168.00	1155.00	1160.50	1019797	-0.64	78.15
GAIL.NS	165.61	163.35	166.80	164.90	165.74	18132384	-0.64	12.71
INDIANB.NS	909.90	901.40	918.80	909.00	912.65	1723294	-0.67	10.67
ASIANPAINT.NS	2485.10	2470.70	2503.00	2475.50	2485.20	452134	-0.71	62.11
ETERNAL.NS	256.79	252.17	257.50	254.65	255.49	32002330	-0.78	1110.83
ASHOKLEY.NS	169.90	168.37	170.68	167.75	169.30	15010298	-0.81	30.02
NESTLEIND.NS	1421.30	1409.10	1429.00	1410.00	1417.30	1719329	-0.82	78.13
BDL.NS	1400.40	1387.00	1405.10	1385.90	1391.30	1457456	-0.98	87.72
GODREJCP.NS	1089.90	1083.95	1100.00	1083.95	1089.25	556276	-0.98	60.99
ICICIBANK.NS	1326.20	1324.00	1327.90	1310.90	1314.10	15385625	-1.04	17.57
ADANIGREEN.NS	1235.80	1150.05	1245.00	1212.85	1229.70	7118501	-1.23	127.56
COALINDIA.NS	456.00	451.05	458.50	450.65	452.50	6922067	-1.31	9.34
AUBANK.NS	1065.65	1047.25	1057.00	1028.00	1043.00	1933016	-1.32	33.86
LTF.NS	290.05	287.22	291.70	286.81	287.79	15681505	-1.34	24.20
APLAPOLLO.NS	2004.50	1979.00	2015.00	1985.00	1987.70	405891	-1.35	49.75
RBLBANK.NS	321.40	307.70	318.00	306.10	312.80	12137009	-1.64	22.22
COLPAL.NS	2171.30	2139.00	2180.00	2135.40	2141.00	371678	-1.79	43.86
ASTRAL.NS	1563.20	1551.90	1565.00	1530.00	1535.00	535721	-1.92	81.82
BEL.NS	444.45	438.75	445.00	432.95	435.60	18502535	-2.11	53.45
POLICYBZR.NS	1696.70	1667.00	1700.00	1659.20	1663.00	1390205	-2.18	132.40
JUBLFOOD.NS	491.95	483.60	496.00	483.50	485.10	3129078	-2.20	100.02
SHRIRAMFIN.NS	1011.30	983.55	1011.30	963.75	974.65	15096574	-3.62	18.31
